path,label
pokemoncards/pokemon_card_images\base1-10_Mewtwo.jpg,Mewtwo
pokemoncards/pokemon_card_images\base1-11_Nidoking.jpg,Nidoking
pokemoncards/pokemon_card_images\base1-12_Ninetales.jpg,Ninetales
pokemoncards/pokemon_card_images\base1-13_Poliwrath.jpg,Poliwrath
pokemoncards/pokemon_card_images\base1-14_Raichu.jpg,Raichu
pokemoncards/pokemon_card_images\base1-15_Venusaur.jpg,Venusaur
pokemoncards/pokemon_card_images\base1-16_Zapdos.jpg,Zapdos
pokemoncards/pokemon_card_images\base1-17_Beedrill.jpg,Beedrill
pokemoncards/pokemon_card_images\base1-18_Dragonair.jpg,Dragonair
pokemoncards/pokemon_card_images\base1-19_Dugtrio.jpg,Dugtrio
pokemoncards/pokemon_card_images\base1-1_Alakazam.jpg,Alakazam
pokemoncards/pokemon_card_images\base1-20_Electabuzz.jpg,Electabuzz
pokemoncards/pokemon_card_images\base1-21_Electrode.jpg,Electrode
pokemoncards/pokemon_card_images\base1-22_Pidgeotto.jpg,Pidgeotto
pokemoncards/pokemon_card_images\base1-23_Arcanine.jpg,Arcanine
pokemoncards/pokemon_card_images\base1-24_Charmeleon.jpg,Charmeleon
pokemoncards/pokemon_card_images\base1-25_Dewgong.jpg,Dewgong
pokemoncards/pokemon_card_images\base1-26_Dratini.jpg,Dratini
pokemoncards/pokemon_card_images\base1-27_Farfetch'd.jpg,Farfetch'd
pokemoncards/pokemon_card_images\base1-28_Growlithe.jpg,Growlithe
pokemoncards/pokemon_card_images\base1-29_Haunter.jpg,Haunter
pokemoncards/pokemon_card_images\base1-2_Blastoise.jpg,Blastoise
pokemoncards/pokemon_card_images\base1-30_Ivysaur.jpg,Ivysaur
pokemoncards/pokemon_card_images\base1-31_Jynx.jpg,Jynx
pokemoncards/pokemon_card_images\base1-32_Kadabra.jpg,Kadabra
pokemoncards/pokemon_card_images\base1-33_Kakuna.jpg,Kakuna
pokemoncards/pokemon_card_images\base1-34_Machoke.jpg,Machoke
pokemoncards/pokemon_card_images\base1-35_Magikarp.jpg,Magikarp
pokemoncards/pokemon_card_images\base1-36_Magmar.jpg,Magmar
